Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
GSM405340,6.7574,5.331,6.9935,6.0192,6.4559,8.3511,6.0373,6.5184,4.8882,8.5561,9.8979,4.8187,5.7571,8.1535,11.4293,7.7238,10.5847,8.5718,8.0056,7.7264,8.2651,7.5023,5.0452,5.869,9.2363,12.449,10.3382,7.7008,9.0231,11.8162,10.1585,5.637,10.4176,6.5015,3.8138,7.4966,9.9985,11.1745,7.2104,4.5177
GSM405341,8.7953,4.6021,6.7709,5.7993,6.3515,8.5576,4.3425,4.3164,5.4165,8.2881,10.3179,6.2028,5.2605,7.654,10.019,7.0671,11.0072,8.9074,8.1006,8.106,7.4426,7.6683,5.2381,6.8317,8.8523,12.4055,9.5641,8.7847,8.778,14.0372,12.7941,6.8514,9.9333,6.6283,7.0659,8.3218,12.6801,13.1369,8.5213,5.1203
GSM405342,5.9128,4.5079,7.1201,5.6721,5.9332,7.8229,4.9289,5.6341,5.1441,8.8824,9.3703,5.0388,5.9516,7.6169,10.3127,7.2657,9.3986,9.313,8.7473,8.3425,7.8847,7.8734,5.0706,6.6335,8.9671,11.0684,8.895,7.4207,7.3232,7.0591,6.6342,5.0315,9.8964,7.2061,3.8599,5.7619,7.9566,11.6127,6.0579,4.551
GSM405344,8.2008,5.3887,6.7502,6.1526,6.4013,8.5202,4.8749,4.3605,5.1777,8.8971,10.4613,5.4689,4.5329,8.1198,11.5613,7.7341,9.9695,8.8931,8.4163,8.2913,8.4681,8.7162,5.2499,6.0203,10.8091,5.9352,10.7953,6.1434,6.2206,5.2351,9.0378,5.2869,10.7266,7.4808,3.6861,6.5492,9.6068,10.7559,6.4465,4.8908
GSM405345,5.0845,4.4842,7.7342,5.3318,6.9335,7.9717,4.6466,4.9747,5.367,7.988,10.507,6.6755,6.082,8.2584,8.8842,6.8916,10.7463,8.1767,7.1655,7.8647,7.7089,7.1403,5.2469,7.5206,8.8935,11.6558,8.9708,9.1154,8.4035,11.9059,8.0095,5.8184,7.6752,5.5364,9.9067,9.5076,13.6921,12.7426,8.4172,5.2102
GSM405347,9.1256,4.4049,6.9912,5.4627,7.2669,8.553,9.0394,6.2764,9.0572,8.9672,14.758,6.7422,4.4146,7.4919,9.8024,7.0099,11.4686,8.9776,8.6835,8.1919,8.5234,8.0265,5.1775,6.5434,9.4563,11.2848,9.4797,9.4636,7.1658,5.9791,8.2116,7.2309,10.0735,7.1806,6.6837,6.6737,11.7766,11.8538,7.1439,4.966
GSM405349,5.1616,8.6142,7.96,5.9465,5.5343,8.129,6.8956,6.273,5.1072,8.3878,11.1362,6.0177,5.4032,8.6315,10.7209,5.9821,10.3422,9.0276,6.6309,8.4936,7.8099,7.5918,5.2479,5.7168,4.842,8.6337,9.7826,9.9112,6.1865,6.1539,10.6804,7.6169,7.6698,6.4199,5.9635,7.1601,13.4704,12.3823,8.7152,4.8378
GSM405350,6.5891,4.8682,7.0391,5.329,5.9698,7.8503,4.9536,4.3988,5.2103,7.1948,10.3751,5.4166,4.5472,5.6515,9.2426,7.0965,10.0125,9.2955,6.1687,8.2323,8.328,7.5974,5.5592,6.2072,8.6799,10.0693,8.1209,8.1503,5.983,4.9791,6.9357,6.0548,9.2608,6.5573,4.1048,4.6564,8.2513,10.9105,5.6539,4.6246
GSM405351,5.5499,5.7797,7.1631,5.6571,7.2512,8.3304,4.5669,4.1603,5.3307,7.8265,10.5477,6.643,6.5806,7.4108,7.8347,7.1054,11.3802,8.1828,6.3654,7.9639,7.7876,7.4808,5.2575,6.3086,5.2734,10.8739,7.5358,8.5957,9.2688,11.0827,9.4589,7.5861,7.1833,6.2391,4.1661,9.1382,13.0831,13.2175,8.2615,5.5408
GSM405352,10.6602,4.3233,6.886,5.6167,7.7516,8.0027,8.6065,6.8344,5.4572,11.9567,14.0214,6.0449,4.96,7.7247,9.4012,7.0804,10.723,9.7151,7.6865,8.2652,8.5297,8.1713,4.8975,5.3145,9.1978,12.7169,10.2627,8.3458,8.8429,11.1772,9.6398,6.9328,11.084,7.2604,6.3828,7.2585,11.3076,11.697,7.6965,5.0219
